主キー,問題,正解選択肢,その他選択肢1,その他選択肢2,その他選択肢3,ジャンル,難易度
118,PCゲームのジャンルの一つで、プレイヤーが第三者視点（三人称）でキャラクターを操作し、銃などの武器を使って敵と戦うゲームは何と呼ばれるでしょう？,TPS（サードパーソン・シューティングゲーム）,FPS（ファーストパーソン・シューティングゲーム）,RTS（リアルタイムストラテジー）,MOBA（マルチプレイヤーオンラインバトルアリーナ）,ゲーム (一般、家庭用ゲーム、PCゲーム、スマホゲームなど),2
119,スマホゲームのジャンルの一つで、他のプレイヤーと協力してダンジョンを攻略したり、強力なボスを倒したりするゲームは何と呼ばれるでしょう？,協力型RPG,オンラインRPG,MMORPG,ソーシャルRPG,ゲーム (一般、家庭用ゲーム、PCゲーム、スマホゲームなど),2
120,家庭用ゲームのイベントで、最新のゲームソフトやハードウェアの展示だけでなく、eスポーツの大会やゲームクリエイターによる講演など、多岐にわたる催しが行われる大規模な展示会として知られるものは何でしょう？,東京ゲームショウ,E3,gamescom,PAX,ゲーム (一般、家庭用ゲーム、PCゲーム、スマホゲームなど),2
121,ライトノベルの定義として、挿絵が多用されていること以外に、文体や表現においてどのような特徴を持つ小説を指すことが多いでしょう？,口語調で読みやすい文体,難解な専門用語を多用した文体,伝統的な文語体,海外文学のような重厚な文体,ライトノベル,2
122,ライトノベルのジャンルの一つで、主人公がゲームのようなシステムを持つ異世界に転生し、レベルアップやスキル習得などを通して成長していく物語を何と呼ぶでしょう？,ゲーム転生,異世界RPG,レベルアップファンタジー,ステータス異常,ライトノベル,2
123,ライトノベルの表現技法の一つで、物語の重要な場面やキャラクターの魅力を引き立てるために挿入されるイラストは、一般的に何ページ程度挿入されることが多いでしょう？,数ページ程度,数十ページ程度,各章に1枚程度,挿絵はほとんどない,ライトノベル,3
124,ライトノベルのレーベルで、「涼宮ハルヒの憂鬱」や「とある魔術の禁書目録」など、数々のヒット作を生み出しているKADOKAWAのレーベルは何でしょう？,電撃文庫,スニーカー文庫,富士見ファンタジア文庫,MF文庫J,ライトノベル,2
125,ライトノベルのジャンルの一つで、学園を舞台にした恋愛コメディにおいて、主人公とヒロインが軽妙な掛け合いを繰り広げ、読者を楽しませる作風は何と呼ばれるでしょう？,ラブコメ,青春コメディ,学園ギャグ,日常系コメディ,ライトノベル,2
126,ライトノベルの賞で、応募作品数が多いことで知られ、受賞作の多くがアニメ化されることでも有名な、KADOKAWAのライトノベル新人賞は何でしょう？,電撃小説大賞,スニーカー大賞,ファンタジア大賞,GA文庫大賞,ライトノベル,2
127,ライトノベルのジャンルの一つで、本格的な謎解きやトリックを重視した物語において、読者も一緒に推理を楽しむことができるような構成になっているものは何と呼ばれるでしょう？,本格ミステリー,クローズドサークル,倒叙ミステリー,日常の謎,ライトノベル,3
128,ライトノベルがアニメ化される際、原作のイラストレーターがアニメのキャラクターデザインにも関わることは多いですか？,非常に多い,ほとんどない,一部の作品のみ,契約による,ライトノベル,2
129,ライトノベルのジャンルの一つで、現代社会を舞台に、超能力を持つ者たちが織りなす戦いや人間関係を描いた物語を何と呼ぶでしょう？,異能バトル,超能力アクション,現代異能ファンタジー,特殊能力学園,ライトノベル,3
130,ライトノベルの販売形態で、電子書籍のメリットの一つとして、紙媒体では絶版になった作品も手軽に読めることが挙げられますが、これはなぜ可能になることが多いでしょう？,データとして保管・配信できるため,印刷コストがかからないため,読者の需要に応じて再販できるため,著作権の問題がクリアになるため,ライトノベル,2
131,ボーカロイドの歌声ライブラリで、日本語の女性キャラクターとして初めて発売され、赤い衣装が特徴的なキャラクターは何でしょう？,MEIKO,初音ミク,鏡音リン,巡音ルカ,ボーカロイド,2
132,ボーカロイドのキャラクターで、初音ミクの声を担当した声優は誰でしょう？,藤田咲,下田麻美,浅川悠,中島愛,ボーカロイド,3
133,ボーカロイドの楽曲制作において、歌詞を入力する際に、特定の音節やフレーズに感情を込めるためのパラメータは何と呼ばれるでしょう？,ベロシティ,ピッチベンド,ダイナミクス,ジェンダーファクター,ボーカロイド,3
134,ボーカロイドのキャラクターで、鏡音リン・レンの声を担当した声優は誰でしょう？,下田麻美,藤田咲,浅川悠,中島愛,ボーカロイド,3
135,ボーカロイドの楽曲ジャンルで、ロック調の激しいサウンドにボーカロイドの歌声が乗る音楽において、特にギターサウンドを強調したものは何と呼ばれることが多いでしょう？,VOCAROCK,ボカロメタル,ギターロック,デジタルロック,ボーカロイド,3
136,ボーカロイドのキャラクターで、巡音ルカの声を担当した声優は誰でしょう？,浅川悠,藤田咲,下田麻美,中島愛,ボーカロイド,3
137,ボーカロイドの楽曲を投稿・共有するプラットフォームで、ニコニコ動画と並んで多くのボカロP（ボーカロイドプロデューサー）が利用している動画サイトは何でしょう？,YouTube,Vimeo,bilibili,SoundCloud,ボーカロイド,2
138,ボーカロイドのキャラクターで、KAITOの声を担当した声優は誰でしょう？,風雅なおと,佐々木渉,拝郷メイコ,沢城みゆき,ボーカロイド,4
139,ボーカロイドのイベント「マジカルミライ」は、初音ミクを中心としたイベントですが、他にどのようなボーカロイドキャラクターが登場することが多いでしょう？,鏡音リン・レン、巡音ルカ、MEIKO、KAITO,GUMI、IA、flower,結月ゆかり、東北ずん子、音街ウナ,VY1、VY2、蒼姫ラピス,ボーカロイド,3
140,ボーカロイドの歌声ライブラリで、VOCALOID2エンジンに対応した初の日本語女性ライブラリは何でしょう？,初音ミク,MEIKO,鏡音リン,巡音ルカ,ボーカロイド,2
141,特撮番組「ウルトラマン」シリーズで、ウルトラマンに変身する主人公が所属する組織で、地球の平和を守るために活動する科学特捜隊の略称は何でしょう？,科特隊,SST,UGM,TAC,特撮 (ウルトラマン、仮面ライダーなど),2
142,特撮番組「仮面ライダー」シリーズで、初代仮面ライダーである本郷猛が変身する際に叫ぶ掛け声は何でしょう？,変身！,ライダー変身！,チェンジ！,ジャンプ！,特撮 (ウルトラマン、仮面ライダーなど),2
143,特撮番組「スーパー戦隊」シリーズで、初期の作品でよく見られた、メンバーが共通の武器ではなく、それぞれ異なる武器を使用するスタイルは何と呼ばれるでしょう？,個人武器,専用武器,固有武器,パーソナルウェポン,特撮 (ウルトラマン、仮面ライダーなど),3
144,特撮番組「ゴジラ」シリーズで、ゴジラの宿敵とも言える、三つ首の巨大怪獣は何でしょう？,キングギドラ,モスラ,メカゴジラ,デストロイア,特撮 (ウルトラマン、仮面ライダーなど),2
145,特撮番組で、怪人や敵キャラクターのデザインにおいて、生物の形態を参考にしながらも、独創的なアイデアを取り入れて創造されることが多いですが、このようなデザインの方向性は何と呼ばれるでしょう？,クリーチャーデザイン,バイオニックデザイン,キメラデザイン,ハイブリッドデザイン,特撮 (ウルトラマン、仮面ライダーなど),3
146,特撮番組の撮影で、ミニチュアの建物や風景などを破壊するシーンにおいて、爆発や炎などの効果をリアルに見せるために用いられる技術は何でしょう？,爆破特撮,火薬演出,特殊効果,破壊描写,特撮 (ウルトラマン、仮面ライダーなど),3
147,特撮番組「ウルトラマン」シリーズで、初代ウルトラマンの最終回に登場し、ウルトラマンを倒した強敵は何でしょう？,ゼットン,バルタン星人,ゴモラ,レッドキング,特撮 (ウルトラマン、仮面ライダーなど),3
148,特撮番組「仮面ライダー」シリーズで、初代仮面ライダーの変身ベルトの正式名称は何でしょう？,タイフーン,ダブルタイフーン,サイクロン,ハリケーン,特撮 (ウルトラマン、仮面ライダーなど),3
149,特撮番組で、主人公が乗るバイクや車などのメカニックデザインにおいて、現実の車両をベースにしながらも、未来的な要素や特殊な機能を付加することがありますが、このようなデザインの手法は何と呼ばれるでしょう？,フューチャリスティックデザイン,メカニックアレンジ,ビークルカスタム,特殊車両デザイン,特撮 (ウルトラマン、仮面ライダーなど),3
150,特撮番組のジャンルで、巨大なロボットが登場して戦う作品群において、複数のメカが合体して一つの巨大ロボットになるという設定は何と呼ばれるでしょう？,合体ロボット,巨大合体,スーパーコンバイン,フォーメーション合体,特撮 (ウルトラマン、仮面ライダーなど),3
151,2次元アイドルの代表的な活動の一つであるバーチャルライブにおいて、観客がアバターを使って参加し、リアルタイムでコミュニケーションを取ることができるシステムは何と呼ばれるでしょう？,バーチャル空間ライブ,メタバースライブ,アバター参加型ライブ,オンラインインタラクティブライブ,アイドル (2次元アイドル、3次元アイドル),2
152,2次元アイドルグループ「ラブライブ！」シリーズで、最初に登場したグループの名前は何でしょう？,μ's（ミューズ）,Aqours（アクア）,虹ヶ咲学園スクールアイドル同好会,Liella!（リエラ）,アイドル (2次元アイドル、3次元アイドル),2
153,3次元アイドルグループで、劇場公演を中心に活動するAKB48グループにおいて、各劇場に所属するチームの中で、最も歴史が長く、創設当初から存在するチームは何でしょう？,チームA,チームK,チームB,チーム4,アイドル (2次元アイドル、3次元アイドル),3
154,2次元アイドルのキャラクターを演じる声優が、実際にライブで歌ったり踊ったりする活動において、キャラクターの衣装や振付を忠実に再現するだけでなく、MCなどもキャラクターになりきって行うことは一般的ですか？,非常に一般的である,ほとんど行われない,一部のイベントのみ,声優自身の判断に委ねられる,アイドル (2次元アイドル、3次元アイドル),2
155,3次元アイドルグループのファンが行う応援活動の一つであるコールにおいて、曲の特定の箇所で、メンバーの名前やグループ名を叫ぶタイミングやフレーズが定型化されたものは何と呼ばれるでしょう？,コールパターン,定型コール,応援コール,ライブコール,アイドル (2次元アイドル、3次元アイドル),3
156,2次元アイドルグループ「あんさんぶるスターズ！」に登場するユニットで、UNDEAD、Knights、流星隊、Ra*bitsの4つのユニットの頭文字を取った略称は何でしょう？,U.K.R.R,UNKR,ULRR,UKRR,アイドル (2次元アイドル、3次元アイドル),4
157,3次元アイドルグループのメンバーが卒業後、ソロで音楽活動を行うだけでなく、俳優やタレントとして幅広い分野で活動することは珍しくありませんか？,珍しくない,非常に珍しい,一部のメンバーのみ,卒業後の活動は限定的である,アイドル (2次元アイドル、3次元アイドル),2
158,2次元アイドルが登場する作品において、ファンが自分の好きなキャラクターを応援する行為である「推し活」の一環として、グッズを購入したり、イベントに参加したりする以外に、SNSなどで積極的に情報を発信したり、ファンコミュニティに参加したりする活動も含まれますか？,はい,いいえ,場合による,不明,アイドル (2次元アイドル、3次元アイドル),1
159,3次元アイドルグループのコンサートで、ファンが使用するペンライトの色は、グループ全体で統一されている場合と、メンバーごとに異なるカラーが設定されている場合がありますか？,どちらの場合もある,グループ全体で統一されている場合のみ,メンバーカラーのみ,コンサートによって異なる,アイドル (2次元アイドル、3次元アイドル),2
160,2次元アイドル、3次元アイドル問わず、アイドルを目指す若い女性たちが共同生活を送る場所を舞台にした作品において、ライバルグループとの競争や、メンバー間の友情や葛藤を描くことはよくありますか？,よくある,ほとんどない,一部の作品のみ,テーマにはなりにくい,アイドル (2次元アイドル、3次元アイドル),2
161,アニメやゲームのキャラクターに声を当てる声優の仕事において、キャラクターの感情や性格を声だけで表現するために、声の高さやトーン、速さなどを細かく調整する技術は何と呼ばれるでしょう？,声の演技,キャラクターボイス,アフレコ技術,表現力,声優,2
162,声優がアフレコを行う際、映像に合わせて台詞を言うだけでなく、効果音や息遣いなども同時に収録することがありますが、これはなぜでしょう？,よりリアルな臨場感を出すため,後で効果音を合成する手間を省くため,声優の演技力を高めるため,制作時間の短縮のため,声優,2
163,声優の仕事の一つである吹き替えにおいて、海外の俳優の口の動きに合わせて日本語の台詞を言うためには、どのような技術が必要とされるでしょう？,リップシンク,アフレコ技術,演技力,外国語の知識,声優,3
164,声優の仕事の一つで、ゲームのキャラクターに声を当てる際に、プレイヤーの選択によって台詞が変わるような収録方法において、感情の強さやニュアンスを微妙に変えた複数のパターンを収録することは一般的ですか？,非常に一般的である,ほとんど行われない,一部のゲームのみ,予算による,声優,2
165,声優の養成所や専門学校で、演技の基礎やアフレコの技術だけでなく、歌唱力やダンス、トークスキルなどを学ぶことも重要視されますか？,非常に重要である,重要ではない,どちらでもよい,声優の仕事による,声優,2
166,声優の仕事の一つであるナレーションにおいて、単に情報を伝えるだけでなく、番組の雰囲気や視聴者の感情を誘導するために、声のトーンやリズム、間の取り方などを工夫することは重要ですか？,非常に重要である,重要ではない,どちらでもよい,ナレーションの種類による,声優,2
167,声優がキャラクターソングを歌う活動において、キャラクターのイメージを損なわないように、声質や歌い方をキャラクターに近づけることは意識されますか？,非常に意識される,あまり意識されない,声優自身の個性による,キャラクターによる,声優,2
168,声優が出演するラジオ番組において、パーソナリティとして台本に書かれていないアドリブトークをすることは求められますか？,求められることが多い,ほとんど求められない,番組のコンセプトによる,声優の個性による,声優,2
169,声優のイベントで、ファンとの交流を目的としたトークショーやサイン会などにおいて、声優が演じるキャラクターの声でファンに語りかけることはよくありますか？,よくある,ほとんどない,イベントの内容による,声優の判断による,声優,2
170,声優の仕事の一つである朗読において、小説や物語の世界観を声だけで表現するために、登場人物の心情や情景描写などをどのように工夫することが重要となるでしょう？,声の抑揚やトーンの変化,間の取り方,効果音の活用,多種多様な声色の使い分け,声優,3
171,日本の鉄道において、新幹線の最高速度は、営業運転において一般的に何km/h程度で運行されていますか？,300km/h前後,200km/h前後,400km/h前後,150km/h前後,鉄道,2
172,鉄道車両の種類で、主に都市部で通勤・通学のために運行される電車において、乗降をスムーズにするためにドアの数が多い車両は何と呼ばれることが多いでしょう？,多扉車,通勤形電車,近郊形電車,ロングシート車,鉄道,3
173,鉄道の線路の幅において、新幹線で採用されている標準軌の幅は何mmでしょう？,1435mm,1067mm,1372mm,762mm,鉄道,3
174,鉄道の駅で、複数の路線が乗り入れているターミナル駅において、乗り換えの利便性を高めるために、同一方向の列車が同じホームから発着する方式は何と呼ばれるでしょう？,方面別複々線,対面乗り換え,同一ホーム乗り換え,平面交差,鉄道,3
175,鉄道の切符の種類で、JRグループが販売している、一定期間内に新幹線や特急列車を含むJR全線を自由に乗り降りできる企画乗車券は何でしょう？,青春18きっぷ,ジャパンレールパス,JR全線乗り放題きっぷ,鉄道周遊パス,鉄道,4
176,鉄道の信号の種類で、列車の運転士に対して、速度を落として進行する準備をするように指示する信号は何色でしょう？,黄色信号,赤信号,青信号,緑信号,鉄道,2
177,鉄道の駅で、ホームドアの種類で、ホームと列車の間にロープ状の柵が昇降するタイプのものは何と呼ばれるでしょう？,ロープ昇降式ホームドア,可動式ホーム柵,フルスクリーンタイプホームドア,ハーフハイトタイプホームドア,鉄道,3
178,鉄道の運行において、ダイヤが乱れた際に、どの列車を優先的に運行させるか、どの列車を運休させるかなどを判断し、指示を出す責任者は何と呼ばれるでしょう？,運行指令長,輸送指令,列車運行管理者,ダイヤ調整担当,鉄道,3
179,鉄道の車両で、電気を動力として走行する電車において、架線から電気を取り込むために屋根に設置されている装置は何と呼ばれるでしょう？,パンタグラフ,集電装置,トロリーポール,架線集電器,鉄道,2
180,鉄道の駅で、切符を購入したり、駅員に問い合わせたりする場所である「みどりの窓口」は、主にどのような種類の切符を取り扱っていますか？,新幹線や特急列車の指定席券,普通乗車券,回数券,定期券,鉄道,2
181,軍事用語で、陸軍の基本的な戦闘単位である大隊を指揮する階級は何でしょう？,大隊長,中佐,少佐,大尉,ミリタリー,2
182,軍事兵器の種類で、敵の航空機やミサイルなどを迎撃するために使用される兵器は何でしょう？,地対空ミサイル,空対空ミサイル,対艦ミサイル,対戦車ミサイル,ミリタリー,2
183,軍事組織において、小隊を構成するいくつかの分隊を指揮する階級は何でしょう？,小隊長,中尉,少尉,准尉,ミリタリー,2
184,軍事作戦において、敵の陣地や兵力を攻撃する前に、その状況を詳しく調べるために行う活動は何と呼ばれるでしょう？,偵察,威力偵察,情報収集,哨戒,ミリタリー,2
185,軍事用語で、敵の攻撃に対して、陣地や地形を利用して抵抗する活動は何と呼ばれるでしょう？,防御戦,陣地戦,遅滞戦術,撤退戦,ミリタリー,2
186,軍事兵器の種類で、水中で活動し、敵の艦艇を攻撃するだけでなく、陸上の目標を攻撃することも可能なミサイルを搭載した艦艇は何でしょう？,原子力潜水艦,通常動力型潜水艦,駆逐艦,フリゲート艦,ミリタリー,3
187,軍事組織において、佐官の階級の一つで、中佐の上の階級は何でしょう？,大佐,准将,少将,中将,ミリタリー,3
188,軍事用語で、敵の主要な拠点を攻撃し、その機能を麻痺させることを目的とした作戦は何と呼ばれるでしょう？,戦略爆撃,戦術爆撃,空襲,地上攻撃,ミリタリー,3
189,軍事兵器の種類で、携行可能で、個人が敵の装甲車両などを攻撃するために使用するミサイルは何でしょう？,対戦車ミサイル,携帯式ロケット弾,迫撃砲,無反動砲,ミリタリー,3
190,軍事組織において、下士官の階級の一つで、軍曹の上の階級は何でしょう？,曹長,伍長,兵長,上等兵,ミリタリー,2
191,日本の歴史の中で、1868年に江戸幕府が倒れ、明治天皇を中心とする新たな政府が成立した出来事は何でしょう？,明治維新,戊辰戦争,大政奉還,王政復古の大号令,歴史,2
192,世界の歴史の中で、1945年8月に広島と長崎に原子爆弾が投下された国はどこでしょう？,日本,ドイツ,イタリア,アメリカ,歴史,1
193,日本の歴史の中で、江戸時代に幕府が置かれた江戸は、現在の何という都市でしょう？,東京都,京都市,大阪市,横浜市,歴史,1
194,世界の歴史の中で、古代エジプト文明において、ピラミッドは何のために建設されたと考えられていますか？,王の墓,神殿,穀物倉庫,天文観測所,歴史,2
195,日本の歴史の中で、明治時代に制定された、天皇を中心とする国家体制を定めた憲法は何でしょう？,大日本帝国憲法,日本国憲法,五箇条の御誓文,教育勅語,歴史,2
196,世界の歴史の中で、1917年にロシアで起こり、皇帝が退位し、社会主義政権が成立した革命は何でしょう？,ロシア革命,フランス革命,産業革命,アメリカ独立戦争,歴史,2
197,日本の歴史の中で、平安時代に貴族の間で流行した、仮名文字で書かれた物語や日記などの文学は何と呼ばれるでしょう？,女流文学,王朝文学,貴族文学,平安文学,歴史,3
198,世界の歴史の中で、紀元前1世紀にローマで起こり、カエサルが暗殺された事件は何でしょう？,ブルートゥスの裏切り,カエサルの暗殺,ポンペイウスとの内戦,スパルタクスの反乱,歴史,3
199,日本の歴史の中で、戦国時代に織田信長が行ったとされる、商業の自由化や座の廃止などの経済政策は何でしょう？,楽市楽座,兵農分離,刀狩り,検地,歴史,2
200,世界の歴史の中で、14世紀にヨーロッパで大流行した黒死病は、一般的に何という感染症が原因と考えられていますか？,ペスト,コレラ,チフス,赤痢,歴史,2
201,フィギュアの種類で、アニメやゲームのキャラクターをデフォルメした、頭が大きく可愛らしいデザインのフィギュアは何と呼ばれるでしょう？,ねんどろいど,figma,S.H.Figuarts,POP UP PARADE,フィギュア,2
202,フィギュアの素材として、透明感や光沢感を表現するのに適しており、主にクリアパーツなどに用いられる合成樹脂は何でしょう？,ABS樹脂,PVC（ポリ塩化ビニル）,アクリル,ポリエチレン,フィギュア,3
203,フィギュアの製造・販売を手がけるメーカーで、精巧な造形と彩色、豊富なオプションパーツが特徴の可動フィギュアシリーズ「figma」を展開しているのはどこでしょう？,マックスファクトリー,グッドスマイルカンパニー,バンダイ,コトブキヤ,フィギュア,2
204,フィギュアの種類で、布製の衣装を着せ替えできる、人形に近いタイプのフィギュアは何と呼ばれるでしょう？,ドール,アクションフィギュア,スタチュー,ぬいぐるみ,フィギュア,2
205,フィギュアの塗装において、長年使い込まれたような汚れや傷、錆などを表現する技法は何と呼ばれるでしょう？,ウェザリング,シャドウイング,ドライブラシ,グラデーション,フィギュア,3
206,フィギュアのスケール表記で、「1/8スケール」とは、実物の何分の1の大きさであることを示していますか？,8分の1,1分の8,8倍,1対8,フィギュア,2
207,フィギュアのジャンルの一つで、メカやロボットをモチーフにしたフィギュアにおいて、金属パーツを使用したり、重厚な塗装を施したりすることで、リアルな質感を追求したものは何と呼ばれることが多いでしょう？,合金フィギュア,メタルフィギュア,ロボットフィギュア,メカニックフィギュア,フィギュア,3
208,フィギュアの保管において、紫外線による劣化を防ぐために、どのような場所に保管するのが適切でしょう？,直射日光の当たらない場所,高温多湿でない場所,風通しの良い場所,暗くて涼しい場所,フィギュア,2
209,フィギュアの販売形態で、特定のイベント会場やオンラインショップでのみ購入できる、数量限定のフィギュアは何と呼ばれるでしょう？,限定版,イベント限定,特典付き,初回限定,フィギュア,2
210,フィギュアのイベント「ワンダーフェスティバル」は、プロの原型師だけでなく、アマチュアの造形作家も出展できることが特徴ですが、アマチュアが出展するエリアは何と呼ばれるでしょう？,アマチュアゾーン,一般ディーラー,プロディーラー,企業ブース,フィギュア,3
211,プラモデルの素材であるポリスチレンは、接着剤で溶かして接着する以外に、熱を加えることで変形させることができますが、この性質を利用した加工方法は何と呼ばれるでしょう？,ヒートプレス,バキュームフォーム,熱加工,溶解加工,プラモデル,3
212,プラモデルの組み立てに必要な道具で、ランナーから部品を切り離した際に残ったゲート跡を綺麗にするために使用するものは何でしょう？,デザインナイフ,ニッパー,やすり,ピンセット,プラモデル,2
213,プラモデルの接着に使用する接着剤の種類で、乾燥時間が短く、仮組みなどに便利なものは何でしょう？,瞬間接着剤,スチロール系接着剤,エポキシ系接着剤,木工用接着剤,プラモデル,2
214,プラモデルの表面処理において、細かな傷やパーティングラインなどを消すために、目の細かいやすりで研磨した後に行う、より滑らかな表面にするための作業は何と呼ばれるでしょう？,研ぎ出し,磨き,仕上げ研磨,コンパウンド,プラモデル,3
215,プラモデルの塗装に使用する塗料の種類で、発色が良く、乾燥後に塗膜が強いのが特徴のものは何でしょう？,ラッカー塗料,水性アクリル塗料,エナメル塗料,油性塗料,プラモデル,2
216,プラモデルのジャンルの一つである航空機モデルにおいて、第二次世界大戦中に活躍した戦闘機で、日本の代表的な戦闘機の一つとして知られるのは何でしょう？,零式艦上戦闘機（ゼロ戦）,紫電改,隼,飛燕,プラモデル,2
217,プラモデルのジャンルの一つであるカーモデルにおいて、実在する自動車のエンジンや内装などを精密に再現したものは何と呼ばれることが多いでしょう？,フルディテールモデル,エンジン付きモデル,精密モデル,リアリティモデル,プラモデル,3
218,プラモデルのジャンルの一つであるメカモデルにおいて、アニメ「機動戦士ガンダム」に登場するモビルスーツで、主人公アムロ・レイが搭乗する最初の機体は何でしょう？,RX-78-2 ガンダム,MS-06 ザクII,MS-07B グフ,MSM-07 ズゴック,プラモデル,2
219,プラモデルの組み立て説明書に記載されている記号で、部品を接着する際に使用する記号は何でしょう？,接着,切断,塗装,組み立て,プラモデル,1
220,プラモデルのイベント「モデラーズクラブ合同展」は、どのような目的で開催されることが多いでしょう？,アマチュアモデラーの作品展示と交流,プロモデラーの作品展示と販売,メーカーの新製品発表,プラモデルの即売会,プラモデル,2
221,コスプレ（一般）で、アニメやゲームのキャラクターになりきる際に、衣装を手作りするだけでなく、武器や防具などの小道具も自作する人を何と呼ぶことが多いでしょう？,造形レイヤー,プロップメーカー,コスチュームアーティスト,クラフトマン,コスプレ (一般),3
222,コスプレ（一般）で、イベント会場などで撮影されたコスプレイヤーの写真を公開するSNSにおいて、ハッシュタグを活用することで、同じ作品やジャンルのコスプレイヤーと繋がることができますが、一般的なハッシュタグの付け方として適切なものは何でしょう？,#作品名,#キャラクター名,#コスプレ,#イベント名,上記全て,コスプレ (一般),1
223,コスプレ（一般）のイベントで、参加者が守るべき基本的なマナーとして、他の参加者の許可なく撮影してはいけない理由として、特に重要な権利は何でしょう？,肖像権,著作権,パブリシティ権,プライバシー権,コスプレ (一般),2
224,コスプレ（一般）で、キャラクターの髪型を再現するために使用するウィッグの手入れで、絡まりやすいロングウィッグを保管する際に、型崩れを防ぐために使用するものは何でしょう？,ウィッグスタンド,マネキンヘッド,ハンガー,収納ネット,コスプレ (一般),2
225,コスプレ（一般）で、キャラクターの顔立ちを近づけるためのメイクアップにおいて、目の大きさを強調するために使用するアイテムは何でしょう？,カラコン,アイシャドウ,アイライナー,つけまつげ,コスプレ (一般),1
226,コスプレ（一般）で、イベント会場の更衣室を利用する際、使用後のゴミはどのように処理するのが適切でしょう？,持ち帰る,備え付けのゴミ箱に捨てる,その場に置いていく,他の人に渡す,コスプレ (一般),1
227,コスプレ（一般）で、武器や小道具など、規定のサイズを超えるものや危険物の持ち込みが禁止されている理由として、参加者同士の安全確保以外に、イベントの運営に支障をきたす可能性のある行為は何でしょう？,通路の妨げになる,他の参加者の迷惑になる,著作権侵害になる,景観が悪くなる,コスプレ (一般),2
228,コスプレ（一般）で、海外のイベントに参加する際に、露出度の高い衣装を着る場合、文化や宗教によっては不適切とみなされることがあるため、事前に確認しておくべきことは何でしょう？,現地の服装規定や習慣,イベントのルール,他の参加者の服装,日本のコスプレ事情,コスプレ (一般),3
229,コスプレ（一般）で、オリジナルのキャラクターを創作してコスプレを楽しむ際に、キャラクターのコンセプトや設定を明確にすることで、より魅力的なコスプレにすることができますが、その際に考慮すべき要素は何でしょう？,衣装のデザイン,キャラクターの性格,背景ストーリー,武器や小道具,上記全て,コスプレ (一般),2
230,コスプレ（一般）のイベントで、参加者同士が交流したり、作品を披露したりする場として設けられる企画の一つに、特定のテーマや作品に限定したコスプレをした人が集まるものがありますが、これは何と呼ばれるでしょう？,合わせ,オフ会,交流会,コスプレミーティング,コスプレ (一般),2
231,同人誌（一般）の主な販売場所として知られる同人誌即売会において、様々なジャンルの同人誌が集まる最大規模のイベントは何でしょう？,コミックマーケット,コミティア,AnimeJapan,character1,同人誌 (一般),2
232,同人誌（一般）で、漫画やイラスト、小説など、様々なジャンルの作品をまとめた本のうち、複数の作者がそれぞれの作品を寄稿して一冊の本にしたものは何と呼ばれるでしょう？,アンソロジー,合同誌,個人誌,作品集,同人誌 (一般),2
233,同人誌（一般）の制作において、複数の作家が共同で一つの物語やテーマに基づいて、漫画や小説などを分担して制作する形式は何と呼ばれるでしょう？,合作,合同誌,アンソロジー,リレー小説,同人誌 (一般),3
234,同人誌（一般）のジャンルの一つである二次創作において、原作のキャラクター設定や世界観を基にしつつも、原作者とは異なる解釈や展開を加えた作品は何と呼ばれることが多いでしょう？,パラレルワールド,ifストーリー,アナザーストーリー,外伝,同人誌 (一般),2
235,同人誌（一般）の制作過程で、印刷・製本を業者に依頼する際に、仕上がりの品質や価格、納期などを比較検討するために、複数の業者から見積もりを取ることは一般的ですか？,一般的である,一般的ではない,予算による,時間がない場合はしない,同人誌 (一般),2
236,同人誌（一般）の販売方法として、同人誌専門のオンライン通販サイトを利用する際に、匿名で取引できるサービスは何と呼ばれることが多いでしょう？,匿名配送,委託販売,BOOTH匿名配送,あんしんBOOTHパック,同人誌 (一般),2
237,同人誌（一般）のイベントで、特定の漫画やアニメ作品、あるいはゲームなどのジャンルに特化した同人誌のみを取り扱う即売会は何と呼ばれるでしょう？,オンリーイベント,ジャンルオンリー,プチオンリー,カップリングオンリー,同人誌 (一般),2
238,同人誌（一般）の制作において、表紙のデザインや本文のレイアウトを行う際に使用するソフトウェアで、商業誌の制作現場でも用いられることの多いプロ向けのDTPソフトは何でしょう？,Adobe InDesign,Microsoft Word,CLIP STUDIO PAINT,SAI,同人誌 (一般),3
239,同人誌（一般）のイベントで、プロの漫画家やイラストレーターなどが、自身のオリジナル作品や商業作品のグッズなどを販売する活動は何と呼ばれるでしょう？,プロ出展,商業ブース,ゲスト参加,企業出展,同人誌 (一般),3
240,同人誌（一般）のイベントで、コスプレイヤーが自分のコスプレ写真などをまとめた写真集を販売する場合、それは一般的にどのような扱いになりますか？,同人誌として扱われる,グッズとして扱われる,写真集として独立したジャンルになる,イベントによって異なる,同人誌 (一般),2
241,VTuber（バーチャルYouTuber）の活動において、視聴者とのコミュニケーションを図るための主な手段として、リアルタイムでコメントを読み上げたり、質問に答えたりする配信は何と呼ばれるでしょう？,ライブ配信,雑談配信,ゲーム実況,歌ってみた,VTuber (バーチャルYouTuber),1
242,VTuberの配信プラットフォームで、YouTubeと並んで人気があり、特にゲーム実況に強いプラットフォームは何でしょう？,Twitch,ニコニコ動画,bilibili,Facebook Live,VTuber (バーチャルYouTuber),2
